STATION,NAME,MONTH,DAY,YEAR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",4,20,1950,0,0,0,NaN,102,56
USW00023183,"PHOENIX AIRPORT, AZ US",4,21,1950,0,0,0,NaN,100,55
USW00023183,"PHOENIX AIRPORT, AZ US",4,22,1950,0,0,0,NaN,95,61
USW00023183,"PHOENIX AIRPORT, AZ US",4,23,1950,0,0,0,NaN,91,57
USW00023183,"PHOENIX AIRPORT, AZ US",4,24,1950,0,0,0,NaN,90,55
USW00023183,"PHOENIX AIRPORT, AZ US",4,25,1950,0,0,0,NaN,93,58
USW00023183,"PHOENIX AIRPORT, AZ US",4,26,1950,0,0,0,NaN,92,56
USW00023183,"PHOENIX AIRPORT, AZ US",4,27,1950,0,0,0,NaN,91,55
USW00023183,"PHOENIX AIRPORT, AZ US",4,28,1950,0,0,0,NaN,87,55
USW00023183,"PHOENIX AIRPORT, AZ US",4,29,1950,0,0,0,NaN,85,56
USW00023183,"PHOENIX AIRPORT, AZ US",4,30,1950,0,0,0,NaN,90,56
USW00023183,"PHOENIX AIRPORT, AZ US",5,1,1950,0,0,0,NaN,91,56
USW00023183,"PHOENIX AIRPORT, AZ US",5,2,1950,0,0,0,NaN,88,56
USW00023183,"PHOENIX AIRPORT, AZ US",5,3,1950,0,0,0,NaN,84,57
USW00023183,"PHOENIX AIRPORT, AZ US",5,4,1950,0,0,0,NaN,74,49
USW00023183,"PHOENIX AIRPORT, AZ US",5,5,1950,0,0,0,NaN,81,46
USW00023183,"PHOENIX AIRPORT, AZ US",5,6,1950,0,0,0,NaN,88,50
USW00023183,"PHOENIX AIRPORT, AZ US",5,7,1950,0,0,0,NaN,87,51
USW00023183,"PHOENIX AIRPORT, AZ US",5,8,1950,0,0,0,NaN,84,46
USW00023183,"PHOENIX AIRPORT, AZ US",5,9,1950,0,0,0,NaN,87,45
USW00023183,"PHOENIX AIRPORT, AZ US",5,10,1950,0,0,0,NaN,92,51
USW00023183,"PHOENIX AIRPORT, AZ US",5,11,1950,0,0,0,NaN,94,53
USW00023183,"PHOENIX AIRPORT, AZ US",5,12,1950,0,0,0,NaN,93,55
USW00023183,"PHOENIX AIRPORT, AZ US",5,13,1950,0,0,0,NaN,94,57
USW00023183,"PHOENIX AIRPORT, AZ US",5,14,1950,0,0,0,NaN,95,59
USW00023183,"PHOENIX AIRPORT, AZ US",5,15,1950,0,0,0,NaN,97,59
USW00023183,"PHOENIX AIRPORT, AZ US",5,16,1950,0,0,0,NaN,98,61
USW00023183,"PHOENIX AIRPORT, AZ US",5,17,1950,0,0,0,NaN,95,62
USW00023183,"PHOENIX AIRPORT, AZ US",5,18,1950,0,0,0,NaN,95,58
USW00023183,"PHOENIX AIRPORT, AZ US",5,19,1950,0,0,0,NaN,96,58
USW00023183,"PHOENIX AIRPORT, AZ US",5,20,1950,0,0,0,NaN,100,59
USW00023183,"PHOENIX AIRPORT, AZ US",5,21,1950,0,0,0,NaN,103,62
USW00023183,"PHOENIX AIRPORT, AZ US",5,22,1950,0,0,0,NaN,101,67
USW00023183,"PHOENIX AIRPORT, AZ US",5,23,1950,0,0,0,NaN,96,68
USW00023183,"PHOENIX AIRPORT, AZ US",5,24,1950,0,0,0,NaN,96,59
USW00023183,"PHOENIX AIRPORT, AZ US",5,25,1950,0,0,0,NaN,95,62
USW00023183,"PHOENIX AIRPORT, AZ US",5,26,1950,0,0,0,NaN,100,63
USW00023183,"PHOENIX AIRPORT, AZ US",5,27,1950,0,0,0,NaN,102,60
USW00023183,"PHOENIX AIRPORT, AZ US",5,28,1950,0,0,0,NaN,101,66
USW00023183,"PHOENIX AIRPORT, AZ US",5,29,1950,0,0,0,NaN,104,64
USW00023183,"PHOENIX AIRPORT, AZ US",5,30,1950,0,0,0,NaN,103,68
USW00023183,"PHOENIX AIRPORT, AZ US",5,31,1950,0,0,0,NaN,104,66
USW00023183,"PHOENIX AIRPORT, AZ US",6,1,1950,0,0,0,NaN,103,72
USW00023183,"PHOENIX AIRPORT, AZ US",6,2,1950,0,0,0,NaN,104,71
USW00023183,"PHOENIX AIRPORT, AZ US",6,3,1950,0,0,0,NaN,101,69
USW00023183,"PHOENIX AIRPORT, AZ US",6,4,1950,0,0,0,NaN,102,67
USW00023183,"PHOENIX AIRPORT, AZ US",6,5,1950,0,0,0,NaN,106,63
USW00023183,"PHOENIX AIRPORT, AZ US",6,6,1950,0,0,0,NaN,98,69
USW00023183,"PHOENIX AIRPORT, AZ US",6,7,1950,0,0,0,NaN,88,59
USW00023183,"PHOENIX AIRPORT, AZ US",6,8,1950,0,0,0,NaN,94,52
USW00023183,"PHOENIX AIRPORT, AZ US",6,9,1950,0,0,0,NaN,101,55
USW00023183,"PHOENIX AIRPORT, AZ US",6,10,1950,0,0,0,NaN,104,60
USW00023183,"PHOENIX AIRPORT, AZ US",6,11,1950,0,0,0,NaN,103,62
USW00023183,"PHOENIX AIRPORT, AZ US",6,12,1950,0,0,0,NaN,102,63
USW00023183,"PHOENIX AIRPORT, AZ US",6,13,1950,0,0,0,NaN,103,58
USW00023183,"PHOENIX AIRPORT, AZ US",6,14,1950,0,0,0,NaN,100,59
USW00023183,"PHOENIX AIRPORT, AZ US",6,15,1950,0,0,0,NaN,103,62
USW00023183,"PHOENIX AIRPORT, AZ US",6,16,1950,0,0,0,NaN,103,61
USW00023183,"PHOENIX AIRPORT, AZ US",6,17,1950,0,0,0,NaN,102,62
USW00023183,"PHOENIX AIRPORT, AZ US",6,18,1950,0,0,0,NaN,107,62
USW00023183,"PHOENIX AIRPORT, AZ US",6,19,1950,0,0,0,NaN,104,64
USW00023183,"PHOENIX AIRPORT, AZ US",6,20,1950,0,0,0,NaN,107,66
USW00023183,"PHOENIX AIRPORT, AZ US",6,21,1950,0.11,0,0,NaN,107,69
USW00023183,"PHOENIX AIRPORT, AZ US",6,22,1950,0,0,0,NaN,102,76
USW00023183,"PHOENIX AIRPORT, AZ US",6,23,1950,0,0,0,NaN,99,71
USW00023183,"PHOENIX AIRPORT, AZ US",6,24,1950,0,0,0,NaN,102,72
USW00023183,"PHOENIX AIRPORT, AZ US",6,25,1950,0,0,0,NaN,104,72
USW00023183,"PHOENIX AIRPORT, AZ US",6,26,1950,0,0,0,NaN,107,73
USW00023183,"PHOENIX AIRPORT, AZ US",6,27,1950,0,0,0,NaN,110,66
USW00023183,"PHOENIX AIRPORT, AZ US",6,28,1950,0,0,0,NaN,114,71
USW00023183,"PHOENIX AIRPORT, AZ US",6,29,1950,0,0,0,NaN,115,77
USW00023183,"PHOENIX AIRPORT, AZ US",6,30,1950,0,0,0,NaN,115,77
USW00023183,"PHOENIX AIRPORT, AZ US",7,1,1950,0,0,0,NaN,112,83
USW00023183,"PHOENIX AIRPORT, AZ US",7,2,1950,0,0,0,NaN,115,81
USW00023183,"PHOENIX AIRPORT, AZ US",7,3,1950,0,0,0,NaN,112,84
USW00023183,"PHOENIX AIRPORT, AZ US",7,4,1950,0,0,0,NaN,106,79
USW00023183,"PHOENIX AIRPORT, AZ US",7,5,1950,0.06,0,0,NaN,91,78
USW00023183,"PHOENIX AIRPORT, AZ US",7,6,1950,0,0,0,NaN,96,77
