STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,,
USC00142835,"FORT SCOTT, KS US",5/23/2007,0,0,78,65,,
USC00142835,"FORT SCOTT, KS US",5/24/2007,0.23,0,83,58,,
USC00142835,"FORT SCOTT, KS US",5/25/2007,0.01,0,74,59,,
USC00142835,"FORT SCOTT, KS US",5/26/2007,0.11,0,75,64,,
USC00142835,"FORT SCOTT, KS US",5/27/2007,0,0,75,65,,
USC00142835,"FORT SCOTT, KS US",5/28/2007,0.12,0,72,64,,
USC00142835,"FORT SCOTT, KS US",5/29/2007,0.02,0,82,65,,
USC00142835,"FORT SCOTT, KS US",5/30/2007,0.1,0,81,64,,
USC00142835,"FORT SCOTT, KS US",5/31/2007,0.54,0,79,59,,
USC00142835,"FORT SCOTT, KS US",6/1/2007,0.45,0,81,58,,
USC00142835,"FORT SCOTT, KS US",6/2/2007,0.49,0,83,61,,
USC00142835,"FORT SCOTT, KS US",6/3/2007,0.01,0,82,59,,
USC00142835,"FORT SCOTT, KS US",6/4/2007,0,0,80,60,,
USC00142835,"FORT SCOTT, KS US",6/5/2007,0,0,82,62,,
USC00142835,"FORT SCOTT, KS US",6/6/2007,0,0,81,63,,
USC00142835,"FORT SCOTT, KS US",6/7/2007,0,0,87,66,,
USC00142835,"FORT SCOTT, KS US",6/8/2007,0,0,87,56,,
USC00142835,"FORT SCOTT, KS US",6/9/2007,0,0,77,53,,
USC00142835,"FORT SCOTT, KS US",6/10/2007,2.01,0,85,55,,
USC00142835,"FORT SCOTT, KS US",6/11/2007,1.93,0,81,66,,
USC00142835,"FORT SCOTT, KS US",6/12/2007,0.1,0,80,66,,
USC00142835,"FORT SCOTT, KS US",6/13/2007,0,0,80,69,,
USC00142835,"FORT SCOTT, KS US",6/14/2007,0,0,83,69,,
USC00142835,"FORT SCOTT, KS US",6/15/2007,0,0,88,69,,
USC00142835,"FORT SCOTT, KS US",6/16/2007,0.01,0,89,65,,
